PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 1, filenames: A: frame0000.jpg & B: frame0001.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.238689242,-3.070422685
4,7,-2.244036065,-3.140906769
4,10,-2.22548073,-3.2471542
4,13,-2.136646847,-3.347740507
4,16,-1.960027321,-3.449778619
4,19,-1.705623138,-3.584088937
4,22,-1.385303777,-3.718587393
4,25,-1.014662067,-3.749487596
4,28,-0.615648706,-3.517114814
4,31,-0.1917245193,-2.896280407
4,34,0.254872041,-1.947977565
4,37,0.7207365478,-1.074843242
4,40,1.07011239,-0.5056166255
4,43,1.288055033,-0.1731638568
4,46,1.215513109,0.03970574593
4,49,0.8540641407,0.1476728601
4,52,0.3321749559,0.07224439995
4,55,-0.1685206649,-0.1129383933
4,58,-0.5559024589,-0.327169376
4,61,-0.7924726656,-0.4823087451
4,64,-0.8658813074,-0.527066403
4,67,-0.768724465,-0.5024509703
4,70,-0.495727138,-0.4567865013
4,73,-0.07341453064,-0.4326823767
4,76,0.3836431104,-0.4893067951
4,79,0.692993129,-0.577268831
4,82,0.8494434536,-0.5934215087
4,85,0.8797221541,-0.5712707547
4,88,0.7909657294,-0.6434751255
4,91,0.6562812777,-0.8130422765
4,94,0.6166035088,-0.970019852
4,97,0.6651140409,-1.177105638
4,100,0.7008514834,-1.395000892
4,103,0.5741957125,-1.457557078
4,106,0.2047702163,-1.075959301
4,109,-0.2783335821,-0.4619124038
4,112,-0.8263292182,-0.1283230095
4,115,-1.30377946,-0.0759859213
4,118,-1.669526293,-0.171904147
4,121,-1.917777946,-0.2476648584
4,124,-2.018759249,-0.1343780378
4,127,-1.950147469,0.1826652493
4,130,-1.826341896,0.3514884005
4,133,-1.752323427,0.2392252125
4,136,-1.730467114,-0.0732805951
4,139,-1.744387155,-0.489375299
4,142,-1.804138772,-0.9546690648
4,145,-1.927134155,-1.433214029
4,148,-2.07661868,-1.860212316
4,151,-2.163668815,-2.09217119
4,154,-2.107873642,-1.982496683
4,157,-2.041441646,-1.701010639
4,160,-2.052483004,-1.388363774
4,163,-2.151209613,-0.9850262331
4,166,-2.302345822,-0.5088068241
4,169,-2.458848573,-0.006299211044
4,172,-2.591131942,0.4661741484
4,175,-2.683293398,0.8424373373
4,178,-2.726372305,1.055958075
7,4,-2.251657057,-3.016645843
7,7,-2.289705571,-3.123589848
7,10,-2.316020866,-3.27103922
7,13,-2.241084613,-3.371526696
7,16,-2.047510285,-3.457941266
7,19,-1.772857639,-3.637781168
7,22,-1.441045137,-3.882264449
7,25,-1.068841638,-4.048430363
7,28,-0.6752355385,-3.884676043
7,31,-0.2565945791,-3.161371467
7,34,0.196871084,-1.904993037
7,37,0.7393013459,-0.8402192339
7,40,1.121743472,-0.2616482036
7,43,1.420447013,0.01433807342
7,46,1.350487817,0.195992075
7,49,0.9278833735,0.3102652111
7,52,0.310665615,0.1732934966
7,55,-0.257389178,-0.08467126309
7,58,-0.6890167651,-0.3820835581
7,61,-0.9491059813,-0.5888952309
7,64,-1.031503548,-0.6059796646
7,67,-0.9302844083,-0.5312136852
7,70,-0.6281690224,-0.4273467468
7,73,-0.1328498355,-0.3260037168
7,76,0.4230746982,-0.3759032262
7,79,0.7477754265,-0.5156312459
7,82,0.8920635369,-0.5443727642
7,85,0.9060351836,-0.4965405346
7,88,0.7667825478,-0.5921430887
7,91,0.5592600552,-0.8281875811
7,94,0.5271727742,-0.9645341481
7,97,0.6449221432,-1.230785415
7,100,0.7790893459,-1.595322184
7,103,0.7079567249,-1.832350103
7,106,0.2736774291,-1.332638998
7,109,-0.2626666333,-0.3923074852
7,112,-0.8992768216,0.04357646796
7,115,-1.408933154,0.06003903
7,118,-1.782626927,-0.1603083556
7,121,-2.040214991,-0.3489963335
7,124,-2.131581311,-0.2011859867
7,127,-1.979620191,0.3627185871
7,130,-1.77515621,0.6346385205
7,133,-1.688872523,0.4631795317
7,136,-1.677460377,0.05578781454
7,139,-1.692270997,-0.4343694608
7,142,-1.751620595,-0.9573491682
7,145,-1.903741966,-1.501999608
7,148,-2.097667921,-2.022875616
7,151,-2.207285146,-2.333777288
7,154,-2.074431615,-2.150274412
7,157,-1.956903736,-1.797969927
7,160,-1.964725043,-1.512374126
7,163,-2.098552253,-1.086248088
7,166,-2.299100928,-0.563586448
7,169,-2.491830688,0.003076900465
7,172,-2.644868754,0.5560667012
7,175,-2.746452949,1.014498875
7,178,-2.78536624,1.28698511
10,4,-2.215397145,-2.872576159
10,7,-2.341494241,-3.068388547
10,10,-2.493183042,-3.321630599
10,13,-2.457510638,-3.411664062
10,16,-2.226773925,-3.425328878
10,19,-1.91968838,-3.677396178
10,22,-1.595854211,-4.115219639
10,25,-1.280762331,-4.524101813
10,28,-0.9455535183,-4.495181771
10,31,-0.6012054891,-3.606416546
10,34,-0.2115185223,-1.78548456
10,37,0.3983307021,-0.4509174559
10,40,0.77462466,0.1319998406
10,43,1.166843599,0.3135937106
10,46,1.118614027,0.4170063355
10,49,0.6969870573,0.5159148305
10,52,0.04643945237,0.2561403452
10,55,-0.5400309177,-0.1132456448
10,58,-0.9994662154,-0.5547262848
10,61,-1.277962137,-0.8585365333
10,64,-1.373711857,-0.781467399
10,67,-1.287960544,-0.5911503144
10,70,-0.9931152011,-0.3631958908
10,73,-0.4669741029,-0.03484318961
10,76,0.166069759,-0.01197641762
10,79,0.4618651362,-0.2484686993
10,82,0.5768328082,-0.3626835557
10,85,0.5851169902,-0.3575242663
10,88,0.4036650048,-0.5455592798
10,91,0.1145927544,-0.9389191729
10,94,0.1132741742,-0.9857319202
10,97,0.3323112965,-1.354695616
10,100,0.6176834651,-1.994794644
10,103,0.6639744665,-2.59883582
10,106,0.1476176918,-1.974752393
10,109,-0.4223749481,-0.4547968683
10,112,-1.153322455,0.2383204055
10,115,-1.640904314,0.2984592377
10,118,-1.982388026,-0.1061012074
10,121,-2.233549491,-0.477053098
10,124,-2.303734819,-0.2301616663
10,127,-2.007355164,0.8424753117
10,130,-1.654428085,1.24599781
10,133,-1.570088162,0.8953917191
10,136,-1.59107049,0.2887828211
10,139,-1.60360701,-0.332413847
10,142,-1.639764199,-0.9389908661
10,145,-1.814000636,-1.563804839
10,148,-2.032755867,-2.206754508
10,151,-2.138171669,-2.65208883
10,154,-1.864764825,-2.373740523
10,157,-1.701502149,-1.925477372
10,160,-1.7362571,-1.740478262
10,163,-1.962653559,-1.252374542
10,166,-2.280241677,-0.6474967571
10,169,-2.551369896,0.03556400194
10,172,-2.749358564,0.7504931015
10,175,-2.874662078,1.385977763
10,178,-2.89863311,1.796781377
13,4,-1.926010705,-2.528781904
13,7,-2.242734852,-2.866109648
13,10,-2.671653833,-3.309374662
13,13,-2.731646682,-3.371971551
13,16,-2.459170485,-3.193583647
13,19,-2.129578516,-3.51400447
13,22,-1.870405882,-4.115650436
13,25,-1.779755207,-4.713155383
13,28,-1.594558256,-4.829879535
13,31,-1.48101881,-3.834040867
13,34,-1.273504322,-1.604410658
13,37,-0.8673458865,-0.3125518794
13,40,-0.5372759304,0.3471362794
13,43,-0.3187293457,0.5242331045
13,46,-0.2962122921,0.5018048429
13,49,-0.4378484569,0.4145474832
13,52,-0.7553682191,0.03159823102
13,55,-1.142875004,-0.4092848655
13,58,-1.517822432,-0.9434251585
13,61,-1.75673307,-1.34052145
13,64,-1.854218826,-1.041755376
13,67,-1.826637047,-0.6795947382
13,70,-1.663704461,-0.3203904746
13,73,-1.358659612,0.4247518253
13,76,-0.9868667057,0.6394771562
13,79,-0.7883850162,0.3361758677
13,82,-0.69129002,-0.003097476317
13,85,-0.658616346,-0.289450342
13,88,-0.7655163611,-0.6299163052
13,91,-0.9311785773,-1.184477264
13,94,-0.883534625,-1.079132501
13,97,-0.6353931583,-1.546219489
13,100,-0.300910724,-2.497071346
13,103,-0.1395409039,-3.348679934
13,106,-0.5473195407,-2.866519188
13,109,-1.074065501,-1.08901863
13,112,-1.675591001,0.1626403329
13,115,-1.969643432,0.5503598341
13,118,-2.208747201,0.02211050479
13,121,-2.413527287,-0.4633078952
13,124,-2.426567027,0.04122021158
13,127,-2.064163747,1.602401193
13,130,-1.548370267,1.984406389
13,133,-1.493119184,1.341940515
13,136,-1.557377502,0.5118804047
13,139,-1.560240669,-0.2254646659
13,142,-1.532000992,-0.8787545593
13,145,-1.655671149,-1.51127912
13,148,-1.739916668,-2.15165124
13,151,-1.636509789,-2.606188007
13,154,-1.299662538,-2.47174869
13,157,-1.223578478,-2.008110715
13,160,-1.336485983,-1.914851535
13,163,-1.710593291,-1.266336524
13,166,-2.208134064,-0.6051128
13,169,-2.586602884,0.1794752228
13,172,-2.853379201,1.088200702
13,175,-3.028191309,1.971310417
13,178,-3.016141731,2.611374355
16,4,-1.002420456,-1.833410649
16,7,-1.675866706,-2.250988076
16,10,-2.563964533,-2.843752715
16,13,-2.821522449,-2.909407946
16,16,-2.609511377,-2.472435476
16,19,-2.309826512,-2.871835338
16,22,-2.066138341,-3.407157146
16,25,-2.119736343,-3.825061594
16,28,-2.118392382,-4.077977707
16,31,-2.122708302,-3.510183902
16,34,-2.043682665,-1.695165428
16,37,-1.836348151,-0.7672861678
16,40,-1.668202383,-0.02926588525
16,43,-1.604698394,0.2881500191
16,46,-1.542894539,0.2839970682
16,49,-1.539191119,-0.03047456331
16,52,-1.712879867,-0.6364050024
16,55,-1.929190282,-1.236508292
16,58,-2.098585443,-1.511021736
16,61,-2.211499477,-1.81172481
16,64,-2.279999358,-1.250166645
16,67,-2.318373312,-0.7495594761
16,70,-2.323909008,-0.4142478093
16,73,-2.321410033,0.558703839
16,76,-2.194565241,0.4916118037
16,79,-2.069204708,0.03919642463
16,82,-1.906391664,-0.2839558756
16,85,-1.850757043,-0.3840112108
16,88,-1.852010807,-0.6284782475
16,91,-1.875949581,-1.034020864
16,94,-1.774616763,-1.123819982
16,97,-1.54528989,-1.556949142
16,100,-1.181258255,-2.583916944
16,103,-0.9823917226,-3.386824342
16,106,-1.252513656,-2.614333013
16,109,-1.675989578,-1.169507567
16,112,-2.029461858,0.06030706114
16,115,-2.225220054,0.6543056183
16,118,-2.460119403,0.03537786475
16,121,-2.71839078,-0.4289340356
16,124,-2.822604974,0.232130216
16,127,-2.514656715,1.624552179
16,130,-1.851384545,1.947789108
16,133,-1.699142062,1.328609199
16,136,-1.726748526,0.5234713872
16,139,-1.724225853,-0.1909138799
16,142,-1.666350778,-0.8065354653
16,145,-1.650621456,-1.399809545
16,148,-1.540517967,-2.025948255
16,151,-1.235479946,-2.547507362
16,154,-0.8208188513,-2.616169979
16,157,-0.878284395,-2.157525199
16,160,-0.9824389521,-1.43902979
16,163,-1.427261669,-0.5786595478
16,166,-2.025030869,-0.04103656427
16,169,-2.457095466,0.6674402904
16,172,-2.799050478,1.605080952
16,175,-3.045272325,2.640287417
16,178,-2.988508016,3.508522148
19,4,0.6026852597,-0.9852421691
19,7,-0.652480917,-1.123884197
19,10,-1.871629157,-1.25693165
19,13,-2.383082567,-1.473320919
19,16,-2.601330476,-1.171693573
19,19,-2.530612417,-1.689634691
19,22,-2.416029134,-1.959263517
19,25,-2.509443233,-2.239468155
19,28,-2.504130651,-2.761967413
19,31,-2.4211978,-2.770646089
19,34,-2.400842692,-2.095056305
19,37,-2.347943109,-1.737565214
19,40,-2.334601838,-0.6973601163
